step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,1,0.0,0.5,1.2614,nan
100096,1,0.0,1.9,2.0865,nan
150016,1,0.0,6.1,1.0346,nan
200192,1,0.0,0.0,1.2235,nan
250112,1,0.0,0.0,1.0404,nan
300032,1,0.0,0.0,1.2419,nan
350208,1,0.0,0.0,0.9618,nan
400128,1,0.0,0.0,0.9647,nan
450048,1,0.0,0.0,0.8712,nan
500224,1,0.0,0.0,0.8705,nan
