step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,2,20.0,24.8,2.4027,0.8672
100096,2,114.8,121.5,2.8498,0.7026
150016,2,195.7,126.8,2.6169,0.5667
200192,2,165.1,173.4,2.8490,0.8802
250112,2,232.2,197.4,2.5078,0.6542
300032,2,111.3,175.0,2.9833,0.9701
350208,2,366.2,133.6,1.9821,0.6022
400128,2,353.5,199.1,2.4067,0.8551
450048,2,313.5,337.3,2.8554,0.8802
500224,2,345.9,312.6,2.7918,0.8892
