step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,113.0,141.4,2.2186,-0.1812
100096,0,63.9,122.8,1.7146,0.9484
150016,0,6.1,1.4,0.8387,-139.9918
200192,0,365.7,329.9,1.4866,-0.0714
250112,0,513.1,476.3,1.3136,-2.5123
300032,0,494.9,501.2,2.0191,0.0127
350208,0,507.9,523.6,2.1882,0.0245
400128,0,516.3,547.2,2.2462,-0.0479
450048,0,157.8,5.7,2.5874,0.8939
500224,0,531.9,566.9,1.9453,0.0653
50176,0,119.4,147.9,1.6979,0.0923
100096,0,264.1,273.6,1.1520,0.1825
150016,0,264.3,367.7,2.0143,0.7983
200192,0,147.8,163.0,1.9467,0.0384
250112,0,2.6,126.0,0.1964,0.9970
300032,0,8.8,104.6,0.4253,0.8794
350208,0,564.4,520.8,1.7062,0.1104
400128,0,612.0,602.2,1.5226,0.3668
450048,0,642.8,361.4,1.5406,0.0930
500224,0,655.7,650.9,1.6821,-0.0039
