series,step,mean,ci95_lo,ci95_hi
tdmpc_glass_pi,0,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,13378,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,26756,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,40134,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,53512,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,66890,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,80268,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,93645,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,107023,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,120401,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,133779,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,147157,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,160535,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,173913,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,187291,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,200669,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,214047,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,227425,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,240803,101.93999999999998,-29.722633524412473,233.60263352441245
tdmpc_glass_pi,254181,102.33106157337834,-30.545146883969508,235.2072700307262
tdmpc_glass_pi,267559,103.61690691934561,-33.33639719152018,240.5702110302114
tdmpc_glass_pi,280936,104.9027522653129,-36.25178683706906,246.05729136769486
tdmpc_glass_pi,294314,106.18859761128019,-39.28056056655609,251.65775578911646
tdmpc_glass_pi,307692,107.47444295724748,-42.41292716502363,257.3618130795186
tdmpc_glass_pi,321070,108.76028830321475,-45.639993862372265,263.1605704688018
tdmpc_glass_pi,334448,110.04613364918202,-48.953697208888286,269.04596450725234
tdmpc_glass_pi,347826,111.3319789951493,-52.34673361714157,275.01069160744015
tdmpc_glass_pi,361204,112.61782434111657,-55.8124917583871,281.0481404406203
tdmpc_glass_pi,374582,113.90366968708386,-59.344988229162055,287.1523276033298
tdmpc_glass_pi,387960,115.18951503305115,-62.93880732928952,293.31783739539185
tdmpc_glass_pi,401338,116.47536037901844,-66.58904537727102,299.5397661353079
tdmpc_glass_pi,414716,117.76120572498571,-70.29125969789744,305.8136711478689
tdmpc_glass_pi,428094,119.04705107095299,-74.0414222198828,312.1355243617888
tdmpc_glass_pi,441472,120.33289641692026,-77.83587749407421,318.5016703279147
tdmpc_glass_pi,454849,121.61874176288754,-81.67130486612902,324.90878839190407
tdmpc_glass_pi,468227,122.90458710885484,-85.54468449675308,331.3538587144628
tdmpc_glass_pi,481605,124.19043245482212,-89.45326690658925,337.8341318162335
tdmpc_glass_pi,494983,125.4762778007894,-93.3945457234748,344.3471013250536
tdmpc_glass_pi,508361,128.70199791655244,-89.34418055173242,346.7481763848373
tdmpc_glass_pi,521739,133.17708392729864,-80.30494075485458,346.6591086094519
tdmpc_glass_pi,535117,137.65216993804486,-71.49161927831383,346.7959591544036
tdmpc_glass_pi,548495,142.12725594879106,-62.91855615372114,347.1730680513033
tdmpc_glass_pi,561873,146.60234195953723,-54.60043222958194,347.8051161486564
tdmpc_glass_pi,575251,151.07742797028345,-46.55212045209558,348.70697639266245
tdmpc_glass_pi,588629,155.55251398102965,-38.78850398863659,349.8935319506959
tdmpc_glass_pi,602007,160.02759999177584,-31.32426153289194,351.3794615164436
tdmpc_glass_pi,615385,164.50268600252207,-24.173622367241308,353.17899437228544
tdmpc_glass_pi,628763,168.9777720132683,-17.35009643035798,355.3056404568946
tdmpc_glass_pi,642140,173.45285802401446,-10.866187560172023,357.77190360820094
tdmpc_glass_pi,655518,177.92794403476063,-4.733100961161796,360.588989030683
tdmpc_glass_pi,668896,182.40303004550688,1.0395416015639114,363.7665184894498
tdmpc_glass_pi,682274,186.87811605625308,6.443963774244793,367.31226833826133
tdmpc_glass_pi,695652,191.3532020669993,11.474458279650946,371.23194585434766
tdmpc_glass_pi,709030,195.82828807774553,16.12755794311596,375.5290182123751
tdmpc_glass_pi,722408,200.3033740884917,20.40214245585318,380.2046057211302
tdmpc_glass_pi,735786,204.77846009923786,24.299473337403384,385.25744686107237
tdmpc_glass_pi,749164,209.25354610998406,27.823154582452304,390.6839376375158
tdmpc_glass_pi,762542,211.92070388158413,34.00842826597287,389.8329794971954
tdmpc_glass_pi,775920,214.45495315329498,40.37162928817992,388.53827701841004
tdmpc_glass_pi,789298,216.98920242500589,46.69921635039063,387.2791884996211
tdmpc_glass_pi,802676,219.5234516967168,52.988755783752254,386.0581476096813
tdmpc_glass_pi,816054,222.0577009684277,59.237614970049464,384.87778696680596
tdmpc_glass_pi,829431,224.59195024013857,65.44294539757041,383.7409550827067
tdmpc_glass_pi,842809,227.12619951184948,71.60166461010138,382.65073441359755
tdmpc_glass_pi,856187,229.66044878356033,77.71043711329051,381.6104604538301
tdmpc_glass_pi,869565,232.19469805527123,83.76565435778593,380.62374175275653
tdmpc_glass_pi,882943,234.72894732698214,89.7634139907106,379.69448066325367
tdmpc_glass_pi,896321,237.263196598693,95.6994986597295,378.82689453765653
tdmpc_glass_pi,909699,239.79744587040392,101.56935477093401,378.0255369698738
tdmpc_glass_pi,923077,242.33169514211477,107.36807174670727,377.29531853752223
tdmpc_glass_pi,936455,244.86594441382567,113.0903625058098,376.6415263218415
tdmpc_glass_pi,949833,247.40019368553658,118.73054609707143,376.06984127400176
tdmpc_glass_pi,963211,249.93444295724748,124.28253365998202,375.5863522545129
tdmpc_glass_pi,976589,252.46869222895833,129.7398191561503,375.19756530176636
tdmpc_glass_pi,989967,255.0029415006692,135.0954766056118,374.9104063957266
tdmpc_glass_pi,1003344,257.11512665168044,138.24416481053998,375.9860884928209
tdmpc_glass_pi,1016722,257.85829719282856,134.5365544083764,381.1800399772807
tdmpc_glass_pi,1030100,258.6014677339766,130.81726092905507,386.3856745388982
tdmpc_glass_pi,1043478,259.34463827512474,127.08746695673071,391.60180959351874
tdmpc_glass_pi,1056856,260.0878088162728,123.34820294973991,396.8274146828057
tdmpc_glass_pi,1070234,260.8309793574209,119.60037059664913,402.06158811819273
tdmpc_glass_pi,1083612,261.574149898569,115.84476205811563,407.3035377390223
tdmpc_glass_pi,1096990,262.3173204397171,112.08207590375588,412.5525649756783
tdmpc_glass_pi,1110368,263.06049098086515,108.31293037903043,417.8080515826999
tdmpc_glass_pi,1123746,263.8036615220133,104.53787450336753,423.069448540659
tdmpc_glass_pi,1137124,264.54683206316133,100.75739739739765,428.336266728925
tdmpc_glass_pi,1150502,265.29000260430945,96.97193615687209,433.60806905174684
tdmpc_glass_pi,1163880,266.0331731454575,93.18188252809148,438.88446376282354
tdmpc_glass_pi,1177258,266.7763436866056,89.38758859038771,444.1650987828235
tdmpc_glass_pi,1190635,267.51951422775375,85.58937161225828,449.4496568432492
tdmpc_glass_pi,1204013,268.2626847689018,81.78751821685199,454.7378513209516
tdmpc_glass_pi,1217391,269.0058553100499,77.98228796783272,460.02942265226716
tdmpc_glass_pi,1230769,269.749025851198,74.17391646687435,465.3241352355216
tdmpc_glass_pi,1244147,270.49219639234605,70.36261803810726,470.62177474658483
tdmpc_glass_pi,1257525,271.37066482269455,71.69790011234494,471.04342953304416
tdmpc_glass_pi,1270903,272.35590905200894,77.06321868163701,467.64859942238087
tdmpc_glass_pi,1284281,273.3411532813233,82.38348895548171,464.29881760716484
tdmpc_glass_pi,1297659,274.32639751063766,87.65557245990018,460.9972225613751
tdmpc_glass_pi,1311037,275.31164173995205,92.87607231029065,457.7472111696135
tdmpc_glass_pi,1324415,276.2968859692663,98.0413116699306,454.5524602686021
tdmpc_glass_pi,1337793,277.2821301985807,103.14731101497597,451.41694938218546
tdmpc_glass_pi,1351171,278.2673744278951,108.18976436976055,448.34498448602966
tdmpc_glass_pi,1364548,279.25261865720944,113.16401476842205,445.34122254599686
tdmpc_glass_pi,1377926,280.2378628865238,118.06502931682371,442.41069645622395
tdmpc_glass_pi,1391304,281.22310711583816,122.88737437687539,439.5588398548009
tdmpc_glass_pi,1404682,282.20835134515255,127.6251915779828,436.79151111232227
tdmpc_glass_pi,1418060,283.1935955744669,132.2721755808826,434.11501556805115
tdmpc_glass_pi,1431438,284.1788398037813,136.82155477919585,431.5361248283667
tdmpc_glass_pi,1444816,285.1640840330956,141.26607642210266,429.0620916440886
tdmpc_glass_pi,1458194,286.14932826241,145.59799797105572,426.70065855376424
tdmpc_glass_pi,1471572,287.1345724917243,149.80908685054837,424.46005813290026
tdmpc_glass_pi,1484950,288.1198167210388,153.89063109377017,422.3490023483074
tdmpc_glass_pi,1498328,289.1050609503531,157.83346368196402,420.3766582187422
tdmpc_glass_pi,1511706,289.08566074072047,157.81969482877446,420.3516266526665
tdmpc_glass_pi,1525084,288.90682863643843,157.1434768844103,420.6701803884666
tdmpc_glass_pi,1538462,288.72799653215634,156.41662543515253,421.03936762916015
tdmpc_glass_pi,1551839,288.5491644278743,155.63976680408982,421.45856205165876
tdmpc_glass_pi,1565217,288.37033232359227,154.8135727403601,421.92709190682444
tdmpc_glass_pi,1578595,288.1915002193103,153.93875692317815,422.4442435154424
tdmpc_glass_pi,1591973,288.01266811502825,153.0160713682626,423.0092648617939
tdmpc_glass_pi,1605351,287.8338360107462,152.0463027744863,423.6213692470061
tdmpc_glass_pi,1618729,287.65500390646423,151.0302688469745,424.2797389659539
tdmpc_glass_pi,1632107,287.47617180218214,149.9688146307531,424.9835289736112
tdmpc_glass_pi,1645485,287.2973396979001,148.86280888649446,425.73187050930574
tdmpc_glass_pi,1658863,287.11850759361806,147.7131405370198,426.5238746502163
tdmpc_glass_pi,1672241,286.9396754893361,146.52071521009313,427.358635768579
tdmpc_glass_pi,1685619,286.76084338505405,145.28645189977445,428.23523487033367
tdmpc_glass_pi,1698997,286.582011280772,144.0112797652729,429.1527427962711
tdmpc_glass_pi,1712375,286.4031791764899,142.69613508293563,430.11022327004423
tdmpc_glass_pi,1725753,286.22434707220793,141.34195836379104,431.10673578062483
tdmpc_glass_pi,1739130,286.0455149679259,139.94969164598868,432.14133828986314
tdmpc_glass_pi,1752508,286.14115252821585,139.34703950581928,432.9352655506124
tdmpc_glass_pi,1765886,287.43555591309143,142.33016464609838,432.54094718008446
tdmpc_glass_pi,1779264,288.72995929796696,145.29549894544664,432.1644196504873
tdmpc_glass_pi,1792642,290.0243626828425,148.2424133957528,431.80631196993215
tdmpc_glass_pi,1806020,291.318766067718,151.1702564223008,431.4672757131352
tdmpc_glass_pi,1819398,292.6131694525936,154.07835342004205,431.1479854851451
tdmpc_glass_pi,1832776,293.90757283746916,156.9660063367505,430.8491393381878
tdmpc_glass_pi,1846154,295.2019762223447,159.83249331232838,430.571459132361
tdmpc_glass_pi,1859532,296.49637960722026,162.67706838445167,430.31569082998885
tdmpc_glass_pi,1872910,297.7907829920958,165.4989612716894,430.0826047125022
tdmpc_glass_pi,1886288,299.08518637697136,168.2973772461967,429.87299550774605
