step,seed,pi_return,mppi_return,phase_entropy
50176,0,37.0,111.3,1.7899
100096,0,90.5,111.4,1.8404
150016,0,227.8,268.1,2.3631
200192,0,275.0,339.3,2.2090
250112,0,361.5,407.8,1.8607
300032,0,264.4,215.7,2.3177
350208,0,0.3,0.0,1.1441
400128,0,444.5,511.1,2.1506
450048,0,489.9,531.0,1.9894
500224,0,478.4,335.5,2.1809
