[paperA_disc_distB] start 2026-06-17T20:26:09Z algo=tdmpc2 task=CheetahRun seeds=3 sha=paperA tag=paperA_distB_s3
[paperA_disc_distB] === CheetahRun seed=3 start 2026-06-17T20:26:09Z ===

Benchmark: ['tdmpc2'] × ['CheetahRun']
Steps: 500,000  Seed: 3
Output: /root/helios-rl/exp/benchmark


============================================================
  TD-MPC2 | CheetahRun | seed=3 | steps=500,000
============================================================
  K_UPDATE override: 128 gradient updates per batch (default 64)
  MPPI n_samples override: NS=2048 (DEFAULTS['NS']=512)
  DISTRACTORS: +32 OU nuisance obs dims (scale=1.0, rho=0.95)
  obs=49  act=6
  Warming up JIT (may take 30-90s)...
  JIT compiled in 26.2s
  step=  350,208  pi_reward=   98.1  MPPI=  126.4  sps=228
    diag pi:   full=0.00 stand=0.66  falls=8.2  ttf=1000.0
    diag mppi: full=0.00 stand=0.81  falls=7.8  ttf=1000.0
  es=  353,280  sps=228  loss=0.7713  scale=4.00  mpc=0.0000
  es=  358,400  sps=230  loss=0.7903  scale=4.00  mpc=0.0000
  es=  363,520  sps=231  loss=0.7649  scale=4.00  mpc=0.0000
  es=  368,640  sps=232  loss=0.7961  scale=4.00  mpc=0.0000
  es=  373,760  sps=234  loss=0.8802  scale=4.00  mpc=0.0000
  es=  378,880  sps=235  loss=0.8752  scale=4.00  mpc=0.0000
  es=  384,000  sps=236  loss=0.8499  scale=4.00  mpc=0.0000
  es=  389,120  sps=237  loss=0.9288  scale=4.00  mpc=0.0000
  es=  394,240  sps=238  loss=0.9068  scale=4.00  mpc=0.0000
  es=  399,360  sps=240  loss=0.9183  scale=4.00  mpc=0.0000
  step=  400,128  pi_reward=  139.1  MPPI=  110.1  sps=229
    diag pi:   full=0.00 stand=0.88  falls=4.8  ttf=1000.0
    diag mppi: full=0.00 stand=0.70  falls=10.6  ttf=1000.0
  es=  404,480  sps=230  loss=0.9478  scale=4.00  mpc=0.0000
  es=  409,600  sps=231  loss=0.8714  scale=4.00  mpc=0.0000
  es=  414,720  sps=232  loss=0.9130  scale=4.00  mpc=0.0000
  es=  419,840  sps=234  loss=0.9056  scale=4.00  mpc=0.0000
