step,seed,pi_return,mppi_return,phase_entropy
50176,2,1032.5,501.9,0.8783
100096,2,3132.3,3175.0,1.0616
150016,2,1783.2,620.5,1.4389
200192,2,1717.1,357.1,1.0312
250112,2,800.0,466.5,1.9606
300032,2,328.2,488.0,1.4563
350208,2,677.2,302.3,2.5270
400128,2,874.9,604.1,2.0461
450048,2,502.6,588.2,1.7398
500224,2,277.5,312.6,0.9043
