step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,4,0.0,1.6,1.6,pi,0.0,25.0
500224,4,23.9,26.6,2.7,pi,23.9,25.0
750080,4,80.6,125.2,44.6,mppi,125.2,25.0
1000192,4,218.5,120.2,-98.2,pi,218.5,25.0
1250048,4,249.2,247.7,-1.5,pi,249.2,25.0
1500160,4,228.7,250.5,21.8,pi,228.7,25.0
1750016,4,242.3,253.9,11.7,pi,242.3,25.0
2000128,4,254.9,258.3,3.4,pi,254.9,25.0
2250240,4,252.6,257.8,5.2,pi,252.6,25.0
2500096,4,251.7,256.5,4.8,pi,251.7,25.0
2750208,4,255.8,252.9,-3.0,pi,255.8,25.0
3000064,4,260.7,263.2,2.5,pi,260.7,25.0
3250176,4,258.3,260.8,2.5,pi,258.3,25.0
3500032,4,256.2,261.9,5.6,pi,256.2,25.0
3750144,4,261.6,262.5,0.9,pi,261.6,25.0
4000000,4,253.3,253.6,0.2,pi,253.3,25.0
4250112,4,249.5,261.0,11.5,pi,249.5,25.0
4500224,4,255.5,261.4,5.9,pi,255.5,25.0
4750080,4,251.3,260.3,9.0,pi,251.3,25.0
5000192,4,250.6,263.6,13.0,pi,250.6,25.0
5250048,4,254.2,265.6,11.4,pi,254.2,25.0
5500160,4,250.1,236.6,-13.5,pi,250.1,25.0
5750016,4,255.4,257.5,2.0,pi,255.4,25.0
6000128,4,204.0,194.8,-9.3,pi,204.0,25.0
6250240,4,254.8,259.7,4.9,pi,254.8,25.0
6500096,4,259.5,254.1,-5.4,pi,259.5,25.0
6750208,4,255.9,256.7,0.8,pi,255.9,25.0
7000064,4,257.5,265.4,7.9,pi,257.5,25.0
7250176,4,254.8,260.5,5.7,pi,254.8,25.0
7500032,4,259.4,261.3,1.9,pi,259.4,25.0
7750144,4,259.3,256.5,-2.8,pi,259.3,25.0
