step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,0.0,0.0,0.8566,nan
100096,0,0.0,0.0,0.2068,nan
150016,0,0.0,0.0,0.0975,nan
200192,0,0.0,0.0,0.0000,nan
250112,0,12.0,0.6,1.5194,0.9993
300032,0,0.0,0.0,0.0882,nan
350208,0,26.0,11.8,2.3211,0.9949
400128,0,0.0,0.0,0.3029,nan
450048,0,157.4,161.0,2.4662,0.8797
500224,0,122.7,41.9,2.5359,0.9968
