step,seed,pi_return,mppi_return,phase_entropy
50176,2,432.2,265.0,1.1562
100096,2,1721.5,1819.8,1.6160
150016,2,1649.3,1955.7,1.3294
200192,2,979.8,669.4,0.4649
250112,2,518.9,596.4,0.9915
300032,2,553.0,578.5,1.9656
350208,2,1595.3,489.9,2.6089
400128,2,278.3,254.1,1.7545
450048,2,798.5,650.3,2.2130
500224,2,1332.3,643.9,1.7458
