step,seed,pi_return,mppi_return,phase_entropy
50176,2,667.6,764.1,1.2342
100096,2,478.3,826.2,0.1565
150016,2,2059.6,2481.2,1.9010
200192,2,2801.1,1573.8,1.6181
250112,2,2276.7,1741.7,2.0248
300032,2,1586.2,553.9,2.0250
350208,2,1425.1,2281.8,1.4781
400128,2,1827.9,2107.5,1.6760
450048,2,1548.6,2032.7,2.1359
500224,2,840.2,806.0,1.8102
