step,seed,pi_return,mppi_return,phase_entropy
50176,1,1734.5,1491.9,0.9615
100096,1,1864.2,1440.1,1.7352
150016,1,2589.9,1798.6,0.5697
200192,1,2332.4,2657.7,0.7286
250112,1,2882.5,1045.4,0.9654
300032,1,3018.8,2444.5,0.9270
350208,1,3079.2,2485.6,0.9021
400128,1,796.5,2490.7,1.7565
450048,1,1734.3,2930.7,2.3621
500224,1,3582.4,1266.3,1.0795
