step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,4.0,64.9,0.0000,0.7619
100096,0,4.0,3.5,0.0000,0.7882
150016,0,14.7,46.8,0.0000,0.0108
200192,0,8.0,41.2,0.0000,0.0585
250112,0,67.3,110.5,0.0000,0.7696
300032,0,39.4,72.5,0.0000,0.6890
350208,0,59.3,82.9,0.0000,0.3429
400128,0,82.8,34.8,0.0000,0.5425
450048,0,87.7,131.4,0.0000,0.6934
500224,0,132.0,94.8,0.0000,0.1719
