step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,4.2,19.5,0.0000,0.8335
100096,0,3.8,57.7,0.0000,0.9123
150016,0,25.4,38.7,0.0000,0.5901
200192,0,1.6,58.5,0.0000,0.2218
250112,0,3.3,105.3,0.0000,0.3289
300032,0,104.8,63.7,0.0000,0.7616
350208,0,156.1,118.3,0.0000,0.5361
400128,0,80.0,122.4,0.0000,0.8356
450048,0,63.9,86.0,0.0000,0.8274
500224,0,117.0,103.8,0.0000,0.8660
