step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,749.2,619.2,1.5846,0.8299
100096,0,706.1,928.1,2.2238,0.9921
150016,0,1298.2,506.2,1.3530,0.8900
200192,0,421.4,742.5,1.7047,0.8975
250112,0,2359.9,1646.9,1.1682,0.4262
300032,0,240.1,299.9,0.6772,0.7317
350208,0,1429.1,418.6,1.7156,0.7973
400128,0,1525.3,1092.8,2.0743,0.9273
450048,0,347.3,299.8,1.9247,0.9161
500224,0,305.6,752.2,1.3206,0.9600
