step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,8,0.0,0.0,0.0,pi,0.0,25.0
500224,8,0.0,0.0,-0.0,pi,0.0,25.0
750080,8,95.5,168.2,72.8,mppi,168.2,25.0
1000192,8,196.3,28.6,-167.7,pi,196.3,25.0
1250048,8,123.7,128.7,5.0,pi,123.7,25.0
1500160,8,142.3,152.9,10.6,pi,142.3,25.0
1750016,8,97.1,123.7,26.7,mppi,123.7,25.0
2000128,8,146.4,97.6,-48.8,pi,146.4,25.0
