step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,3,2.2,52.4,0.0000,0.8323
100096,3,26.8,52.6,0.0000,0.7975
150016,3,0.3,1.1,0.0000,0.8709
200192,3,99.4,125.4,0.0000,0.3461
250112,3,123.0,68.4,0.0000,0.1146
300032,3,48.5,128.9,0.0000,0.8363
350208,3,88.3,225.0,0.0000,0.8410
400128,3,150.0,178.9,0.0000,0.7122
