[paperA_disc_cleanB] start 2026-06-17T20:27:28Z algo=tdmpc2 task=CheetahRun seeds=3 sha=paperA tag=paperA_cleanB_s3
[paperA_disc_cleanB] === CheetahRun seed=3 start 2026-06-17T20:27:28Z ===

Benchmark: ['tdmpc2'] × ['CheetahRun']
Steps: 500,000  Seed: 3
Output: /root/helios-rl/exp/benchmark


============================================================
  TD-MPC2 | CheetahRun | seed=3 | steps=500,000
============================================================
  K_UPDATE override: 128 gradient updates per batch (default 64)
  MPPI n_samples override: NS=2048 (DEFAULTS['NS']=512)
  obs=17  act=6
  Warming up JIT (may take 30-90s)...
  JIT compiled in 26.5s
  es=    5,120  sps=107  loss=0.8502  scale=1.00  mpc=0.0000
  es=   10,240  sps=169  loss=0.7386  scale=1.00  mpc=0.0000
  es=   15,360  sps=209  loss=0.7239  scale=1.00  mpc=0.0000
  es=   20,480  sps=237  loss=0.5621  scale=1.00  mpc=0.0000
  es=   25,600  sps=254  loss=0.5439  scale=1.00  mpc=0.0000
  es=   30,720  sps=270  loss=0.5829  scale=1.00  mpc=0.0000
  es=   35,840  sps=283  loss=0.6715  scale=1.00  mpc=0.0000
  es=   40,960  sps=293  loss=0.5788  scale=1.00  mpc=0.0000
  es=   46,080  sps=300  loss=0.5293  scale=1.00  mpc=0.0000
  step=   50,176  pi_reward=    2.2  MPPI=   52.4  sps=171
    diag pi:   full=0.00 stand=0.03  falls=1.2  ttf=1000.0
    diag mppi: full=0.00 stand=0.64  falls=15.0  ttf=1000.0
  es=   51,200  sps=173  loss=0.6292  scale=1.00  mpc=0.0000
  es=   56,320  sps=182  loss=0.5757  scale=1.00  mpc=0.0000
  es=   61,440  sps=191  loss=0.4360  scale=1.00  mpc=0.0000
  es=   66,560  sps=199  loss=0.5276  scale=1.00  mpc=0.0000
  es=   71,680  sps=206  loss=0.7422  scale=1.00  mpc=0.0000
  es=   76,800  sps=213  loss=0.5861  scale=1.00  mpc=0.0000
  es=   81,920  sps=219  loss=0.5796  scale=1.00  mpc=0.0000
  es=   87,040  sps=225  loss=0.7070  scale=1.00  mpc=0.0000
  es=   92,160  sps=230  loss=0.4232  scale=1.16  mpc=0.0000
  es=   97,280  sps=235  loss=0.5474  scale=1.09  mpc=0.0000
  step=  100,096  pi_reward=   26.8  MPPI=   52.6  sps=201
    diag pi:   full=0.00 stand=0.22  falls=3.6  ttf=1000.0
    diag mppi: full=0.00 stand=0.69  falls=14.0  ttf=1000.0
  es=  102,400  sps=203  loss=0.6334  scale=1.72  mpc=0.0000
  es=  107,520  sps=208  loss=0.6956  scale=2.63  mpc=0.0000
  es=  112,640  sps=213  loss=0.3791  scale=1.41  mpc=0.0000
  es=  117,760  sps=217  loss=0.6401  scale=1.12  mpc=0.0000
  es=  122,880  sps=221  loss=0.7577  scale=2.13  mpc=0.0000
  es=  128,000  sps=225  loss=0.7197  scale=2.44  mpc=0.0000
