step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,169.5,177.0,3.4538,0.8469
100096,0,156.7,147.7,2.7108,0.7758
150016,0,203.3,206.1,2.8148,0.8666
200192,0,158.9,238.1,2.5047,0.4953
250112,0,242.2,241.6,3.1805,0.8677
300032,0,236.5,217.7,3.1114,0.9264
350208,0,245.2,149.5,3.4339,0.9462
400128,0,356.3,385.7,3.5171,0.8713
450048,0,572.8,485.5,3.5174,0.7366
500224,0,630.9,572.6,3.5175,0.6145
