cleanNB	CheetahRun	0	0	0	DONE	-
distNB	CheetahRun	0	32	0	DONE	-
distB	CheetahRun	0	32	0.5	DONE	-
cleanB	CheetahRun	0	0	0.5	DONE	-
distNB64	CheetahRun	0	64	0	DONE	-
distB64	CheetahRun	0	64	0.5	DONE	-
distNB128	CheetahRun	0	128	0	DONE	-
distB128	CheetahRun	0	128	0.5	DONE	-
cleanNB	CheetahRun	1	0	0	DONE	-
distNB	CheetahRun	1	32	0	DONE	-
distB	CheetahRun	1	32	0.5	DONE	-
cleanB	CheetahRun	1	0	0.5	DONE	-
cleanNB	CheetahRun	2	0	0	DONE	-
distNB	CheetahRun	2	32	0	DONE	-
distB	CheetahRun	2	32	0.5	DONE	-
cleanB	CheetahRun	2	0	0.5	DONE	-
wcleanNB	WalkerWalk	0	0	0	DONE	-
wdistNB	WalkerWalk	0	32	0	DONE	-
wdistB	WalkerWalk	0	32	0.5	DONE	-
wcleanB	WalkerWalk	0	0	0.5	DONE	-
cleanNB	CheetahRun	3	0	0	DONE	-
distNB	CheetahRun	3	32	0	DONE	-
distB	CheetahRun	3	32	0.5	RUNNING	g3090:0
cleanB	CheetahRun	3	0	0.5	RUNNING	g3090:1
