step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,3,908.7,1230.4,0.8580,0.8035
100096,3,2330.6,1765.5,1.9583,0.7207
150016,3,2223.7,1633.9,1.3423,0.5828
200192,3,2643.8,1711.2,1.6182,0.6513
250112,3,2540.4,2076.3,1.8049,0.8779
300032,3,2651.2,1932.5,1.6792,0.6031
350208,3,2892.5,1452.1,1.6385,0.5133
400128,3,2935.8,2041.1,1.4843,0.5682
