step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,92.4,113.9,2.3063,0.6101
100096,0,589.6,695.8,2.0010,0.5700
150016,0,873.5,835.8,1.8078,-0.2661
200192,0,968.7,946.2,1.6022,-0.4255
250112,0,775.2,933.4,1.8780,0.7053
300032,0,951.6,978.3,2.2260,-0.1364
350208,0,952.4,962.6,2.2731,-0.3665
400128,0,970.7,766.9,2.2579,-0.1866
450048,0,131.9,64.6,0.9557,0.9563
500224,0,963.4,911.9,2.2232,-0.3072
