step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,28.5,43.6,2.5528,0.8310
100096,0,120.6,115.1,2.9600,0.6905
50176,0,0.8,24.4,2.5944,0.6481
100096,0,0.8,59.6,2.5502,0.8076
150016,0,0.8,26.0,2.1430,0.8519
200192,0,0.8,27.7,2.0086,0.8992
250112,0,0.8,36.6,2.1140,0.9089
300032,0,0.8,30.4,2.2484,0.9569
350208,0,0.8,61.3,1.9148,0.9627
400128,0,0.8,40.8,1.7776,0.9672
450048,0,0.8,38.9,1.5702,0.9762
500224,0,0.8,28.0,1.3277,0.9726
