training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-4.64835,4.64835,0.021462841,1.0,1.2561812,8.811919,-4.7320824,0.013168895,0.000613215,0.24400935,0.015608988,0.036708612,-0.03062921,0.37978518,-4.6407943,4.6407943,0.018440664,1.0,1.2403779,3.2733996,-3.97324,0.013005678,0.0006079802,0.25568706,0.015562548,0.007082611274719239,35.41306662559509,5000
-4.638335,4.638335,0.01745714,1.0,0.94868594,7.520653,-2.9640722,0.011250593,0.0017815491,0.39775544,0.015228147,0.02849532,-0.03133893,0.40178335,-4.626731,4.626731,0.012815282,1.0,1.0332122,3.7134678,-3.2286525,0.011750753,0.0014329619,0.42009622,0.015951715,0.0026183600425720216,48.504870653152466,10000
-4.64023,4.64023,0.018215008,1.0,0.996259,3.8395216,-4.1268997,0.010941172,0.0009884678,0.47512063,0.01569238,0.022508891,-0.03560195,0.39975426,-4.6423473,4.6423473,0.019061891,1.0,1.192232,3.8120666,-3.7285008,0.012638339,0.0007232521,0.48564702,0.017494809,0.0025299409866333007,61.15457892417908,15000
-4.644847,4.644847,0.020061778,1.0,1.0124383,4.995465,-5.4877095,0.011488672,0.0013780718,0.55541015,0.017042775,0.023700416,-0.031193003,0.7015525,-4.65059,4.65059,0.022359015,1.0,1.1538683,4.683522,-4.309192,0.012714075,0.0011872659,0.55553895,0.018269464,0.002562374496459961,73.9664556980133,20000
-4.6340313,4.6340313,0.01573549,1.0,1.007913,6.9111233,-6.071809,0.012499358,0.0024446745,0.605636,0.018555718,0.024112077,-0.03462579,0.62282026,-4.6399918,4.6399918,0.018119624,1.0,1.2572126,6.390922,-6.3726754,0.014988034,0.0024403129,0.6220817,0.02120885,0.002522632598876953,86.57962274551392,25000
-4.634324,4.634324,0.015852725,1.0,1.3216798,8.447657,-6.909702,0.014521331,0.0013177097,0.5658801,0.020180132,0.03676123,-0.033164922,0.505253,-4.6442776,4.6442776,0.019833839,1.0,1.2160547,8.127919,-7.670426,0.014982063,0.002850016,0.57399917,0.020722054,0.0025962247371673582,99.56075048446655,30000
-4.6501694,4.6501694,0.022190748,1.0,1.7647698,11.574747,-9.769138,0.020689014,0.0030720385,0.8772843,0.029461857,0.09724974,-0.0649959,1.7919734,-4.662447,4.662447,0.02710172,1.0,2.247322,12.31113,-9.970967,0.027606891,0.005185527,0.9078047,0.036684938,0.002546007013320923,112.2907886505127,35000
-4.642765,4.642765,0.019229004,1.0,2.5343661,14.917603,-10.859533,0.029715482,0.0044159847,1.2581141,0.042296622,0.13480748,-0.18777187,3.2831576,-4.633749,4.633749,0.0156225655,1.0,2.4844959,14.707769,-12.729409,0.030275308,0.0054852013,1.2848358,0.043123666,0.0025459547996520998,125.02056694030762,40000
-4.6347237,4.6347237,0.016012209,1.0,3.8218544,17.542545,-10.859533,0.042371526,0.004194934,1.3817165,0.05618869,0.11145052,-0.122167684,1.8014915,-4.642356,4.642356,0.019065524,1.0,2.5135708,15.797309,-13.977114,0.03203977,0.0069738035,1.4002812,0.04604258,0.0025686981678009033,137.86406207084656,45000
-4.6292906,4.6292906,0.013839239,1.0,4.35349,15.888315,-10.859533,0.05933183,0.015956499,1.4002331,0.073334165,0.4333272,-0.41383114,8.775442,-4.6343374,4.6343374,0.015857806,1.0,3.840229,15.74497,-15.002108,0.058603425,0.020405192,1.392259,0.072526015,0.002556261682510376,150.64537405967712,50000
-4.6371017,4.6371017,0.01696369,1.0,2.5522423,15.713266,-10.859533,0.03889181,0.013504433,1.5650979,0.054542787,0.052284893,-0.0711796,2.415526,-4.6387596,4.6387596,0.01762679,1.0,2.7671938,17.175667,-16.356472,0.033101026,0.005483928,1.646912,0.049570143,0.0025546069622039793,163.4184124469757,55000
-4.629513,4.629513,0.013928065,1.0,5.574794,14.603662,-10.859533,0.0674757,0.011846227,1.8900719,0.08637641,0.29488912,-0.43744868,7.746702,-4.6356964,4.6356964,0.016401468,1.0,4.4537163,14.968272,-15.498117,0.062743895,0.018390639,1.8889674,0.08163357,0.0025735557556152344,176.28619503974915,60000
