training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.6197586,7.6197586,0.06706262,1.0,0.5874584,5.5347342,-5.8746605,0.018220957,0.081771694,0.9871192,0.2200656,0.020421613,0.068665065,-0.06548569,1.5608221,-7.680309,7.680309,0.082200184,1.0,0.5536909,5.326017,-8.458182,0.019167759,0.25879785,0.9878714,0.2194201,0.02136196,0.003741915464401245,334.2356491088867,80000
-7.658906,7.658906,0.07684942,1.0,0.616268,4.078058,-4.282185,0.017799612,0.07136238,0.98822343,0.19227433,0.019722356,0.05378637,-0.06095181,1.574527,-7.7356462,7.7356462,0.09603445,1.0,0.52152115,4.6352196,-4.7095914,0.012039581,0.07200049,0.9875893,0.19002905,0.013939871,0.0037934028148651124,353.2026689052582,85000
-7.583168,7.583168,0.05791496,1.0,0.5355281,4.2135286,-4.3487253,0.018110257,0.07730064,0.9869746,0.16474521,0.019757709,0.062977195,-0.041894242,1.4092367,-7.6503553,7.6503553,0.074711815,1.0,0.5490178,4.7296543,-4.7095914,0.016091134,0.067746565,0.9879781,0.16458236,0.017736958,0.0037119408130645752,371.76237869262695,90000
-7.5909643,7.5909643,0.059864096,1.0,0.64419675,5.5347342,-5.8556457,0.0136902705,0.3160566,0.98663723,0.16744149,0.015364685,0.058583453,-0.06998376,1.4325112,-7.677217,7.677217,0.08142717,1.0,0.63598883,5.326017,-5.9988246,0.08205072,0.13843548,0.987532,0.167254,0.08372326,0.0037389719009399414,390.457243680954,95000
-7.5899615,7.5899615,0.059613343,1.0,0.68645537,3.83297,-4.3487253,0.011268234,0.063325785,0.9890809,0.37604606,0.015028695,0.04345246,-0.08338269,1.3415248,-7.6339517,7.6339517,0.07061093,1.0,0.6705733,4.3963313,-4.593105,0.015166305,0.06402084,0.9870161,0.37491682,0.018915473,0.003709182119369507,409.00316047668457,100000
-7.573033,7.573033,0.05538117,1.0,0.6507939,4.511182,-4.3487253,0.012939381,0.07133684,0.9887711,0.23668662,0.015306247,0.069219686,-0.05925619,1.4302875,-7.627525,7.627525,0.069004215,1.0,0.60976434,4.6497226,-4.7095914,0.015719771,0.07092135,0.98672915,0.23690407,0.018088812,0.003697907829284668,427.4927053451538,105000
-7.616554,7.616554,0.06626144,1.0,0.70471865,4.2662516,-4.3487253,0.014419643,0.081321165,0.9884954,0.17079517,0.016127596,0.08484519,-0.06113552,1.6022644,-7.7514563,7.7514563,0.09998709,1.0,0.6890349,4.715085,-4.4442115,0.016458493,0.08017016,0.9865991,0.1717133,0.018175626,0.0038133089065551756,446.559255361557,110000
-7.592366,7.592366,0.060214628,1.0,0.6146882,4.793741,-4.6468883,0.014677567,0.06777648,0.9868895,0.26155138,0.01729308,0.056049515,-0.07066047,1.5612047,-7.7019973,7.7019973,0.08762221,1.0,0.634333,4.8407273,-4.695551,0.019592531,0.05649489,0.98746544,0.26065913,0.022199122,0.003761022472381592,465.3643732070923,115000
-7.5971456,7.5971456,0.061409354,1.0,0.6213021,4.1545167,-4.3487253,0.012308188,0.065142214,0.9884575,0.39569518,0.016265139,0.06408943,-0.07609323,1.4742811,-7.7277217,7.7277217,0.09405343,1.0,0.56341374,4.8407273,-4.7095914,0.0139015475,0.076928586,0.98731554,0.39396524,0.0178412,0.0037038148403167725,483.8834533691406,120000
-7.5953417,7.5953417,0.06095844,1.0,0.7106093,3.2783234,-4.282185,0.017673157,0.06744162,0.9859072,0.6956568,0.024629725,0.084461235,-0.06262534,1.8553323,-7.715534,7.715534,0.09100653,1.0,0.6565021,4.096911,-4.7095914,0.01814107,0.06821047,0.98718864,0.6951318,0.025092388,0.003812359619140625,502.94525694847107,125000
-7.589167,7.589167,0.05941479,1.0,0.56552416,3.8814254,-4.4260545,0.013850685,0.06762341,0.98639107,0.12601143,0.015110799,0.054917503,-0.06268234,1.5451449,-7.696161,7.696161,0.086163186,1.0,0.51959825,4.8407273,-4.7095914,0.017896876,0.08570805,0.9874295,0.12518874,0.019148763,0.00380234112739563,521.9569680690765,130000
-7.5832005,7.5832005,0.05792301,1.0,0.64815617,3.4570918,-4.147297,0.015726678,0.102271065,0.98948306,0.733328,0.023059957,0.06059918,-0.039004866,1.6230614,-7.739981,7.739981,0.097118184,1.0,0.63242453,3.858474,-4.1281276,0.018311825,0.080774575,0.9887886,0.73155844,0.025627408,0.003761771488189697,540.7658317089081,135000
