step,seed,pi_return,mppi_return,phase_entropy
50176,1,1491.5,1395.7,2.0621
100096,1,2054.9,1836.1,0.6336
150016,1,2587.7,1142.2,1.0181
200192,1,1916.3,900.7,0.5509
250112,1,2760.3,2627.7,1.0506
300032,1,2932.2,2257.8,0.5902
350208,1,2797.3,2865.1,0.9822
400128,1,1898.2,690.3,2.9207
450048,1,2345.2,1797.5,1.2721
500224,1,2614.6,1966.1,1.6923
