step,seed,pi_return,mppi_return,phase_entropy
50176,1,553.9,1377.0,0.4723
100096,1,2573.0,397.0,1.3734
150016,1,2315.1,1097.2,1.6271
200192,1,2103.5,551.2,1.8641
250112,1,2860.2,1133.4,1.7961
300032,1,2051.9,1385.0,2.2031
350208,1,2034.6,1198.3,1.7135
400128,1,2807.1,2319.7,1.4225
450048,1,2884.9,945.2,1.2491
500224,1,334.0,417.8,0.8566
