step,seed,pi_return,mppi_return,phase_entropy
50176,0,31.7,98.3,2.0594
100096,0,234.1,225.0,1.4690
150016,0,249.8,256.3,2.2511
200192,0,120.0,0.0,2.2705
250112,0,304.6,217.5,2.1817
300032,0,292.4,421.1,2.4892
350208,0,2.7,13.1,0.2415
400128,0,471.0,503.7,1.8656
450048,0,508.4,542.4,1.4445
500224,0,534.2,540.6,1.4308
