step,seed,pi_return,mppi_return,phase_entropy
50176,2,335.9,488.4,0.4980
100096,2,1569.7,1165.2,1.0177
150016,2,2674.6,719.9,1.5329
200192,2,2047.1,826.2,1.9824
250112,2,2280.3,1945.8,1.4040
300032,2,1819.3,627.5,0.9188
350208,2,316.6,237.3,1.3836
400128,2,2760.9,1776.3,1.7067
450048,2,2597.5,2312.9,1.1787
500224,2,2808.5,1329.8,1.2013
