step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,9,0.0,0.1,0.1,pi,0.0,25.0
500224,9,50.3,0.0,-50.3,pi,50.3,25.0
750080,9,187.3,167.3,-20.0,pi,187.3,25.0
1000192,9,0.0,6.0,6.0,pi,0.0,25.0
1250048,9,313.0,264.8,-48.2,pi,313.0,25.0
1500160,9,243.3,193.2,-50.1,pi,243.3,25.0
1750016,9,246.6,228.9,-17.7,pi,246.6,25.0
2000128,9,336.6,225.5,-111.1,pi,336.6,25.0
