step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,3,647.7,598.8,1.4392,0.8597
100096,3,2281.5,1129.5,1.6204,0.7390
150016,3,2355.9,2036.4,1.8450,0.6809
200192,3,2681.2,1782.1,1.7554,0.9183
250112,3,1943.2,1484.8,2.2423,0.7351
300032,3,2119.0,1262.9,1.6819,0.6679
350208,3,2550.9,1436.3,1.7124,0.5973
400128,3,2720.2,1475.8,1.6437,0.4076
