training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-4.634019,4.634019,0.015730558,1.0,1.2355746,6.8256116,-6.0248,0.012806139,0.0004549435,0.24872977,0.015293436,0.033755347,-0.019389115,0.3390565,-4.6295004,4.6295004,0.013923208,1.0,1.2383472,4.645755,-3.364462,0.012861061,0.0004824138,0.27427435,0.015603804,0.007648629236221314,38.24315524101257,5000
-4.6509953,4.6509953,0.022521129,1.0,0.92622733,10.752715,-8.073118,0.010909777,0.0016641461,0.3854237,0.014764014,0.030506685,-0.03169553,0.43610466,-4.631902,4.631902,0.014883853,1.0,0.9544483,3.2913496,-3.5811198,0.010860661,0.0013294744,0.37872046,0.014647866,0.002555565595626831,51.02098751068115,10000
-4.634612,4.634612,0.015967788,1.0,1.0662769,6.0386786,-6.054867,0.01159131,0.0009379203,0.50613743,0.016652685,0.017464243,-0.024299942,0.3469866,-4.6287293,4.6287293,0.013614816,1.0,1.3212048,3.383875,-3.6077285,0.014450923,0.0012513907,0.5061486,0.019512407,0.0025643299579620363,63.842642068862915,15000
-4.630638,4.630638,0.014378277,1.0,1.1400199,7.1965513,-4.583312,0.012600819,0.0012127471,0.55003846,0.018101204,0.021001998,-0.032572184,0.45556015,-4.642497,4.642497,0.019121666,1.0,1.3228425,12.58556,-4.363644,0.01462639,0.0014120876,0.6442071,0.021068461,0.0025557419776916506,76.62135553359985,20000
-4.6374617,4.6374617,0.01710772,1.0,1.157516,10.689453,-4.4908676,0.013603575,0.002048905,0.5963867,0.019567441,0.028521936,-0.03835056,0.6126511,-4.6256585,4.6256585,0.012386414,1.0,1.1347384,9.259094,-4.7347636,0.015038939,0.0037288447,0.61830735,0.021222012,0.0025639660358428955,89.4411895275116,25000
-4.63839,4.63839,0.017478872,1.0,1.1387477,11.744535,-6.532255,0.014931897,0.0035802242,0.6168493,0.02110039,0.024103966,-0.03083159,0.9267781,-4.6250896,4.6250896,0.012158946,1.0,1.3877536,11.457113,-5.8465776,0.01667403,0.0028247428,0.6083137,0.022757167,0.0025745737552642822,102.31406259536743,30000
-4.634081,4.634081,0.015755221,1.0,1.2691622,13.876034,-7.0859494,0.01697236,0.0043239794,0.5953903,0.022926262,0.10789153,-0.069685034,2.4332523,-4.646444,4.646444,0.020700635,1.0,1.1576315,12.58556,-7.1621118,0.01651235,0.0049858945,0.59776384,0.022489987,0.002558791732788086,115.10802483558655,35000
-4.6413693,4.6413693,0.018670721,1.0,1.4328657,15.884934,-9.739784,0.017373713,0.0030758148,0.6772212,0.024145924,0.03138243,-0.031963114,0.9133361,-4.64273,4.64273,0.019215021,1.0,1.4502573,12.58556,-9.863253,0.018369636,0.0039061252,0.6849946,0.025219582,0.0025926278591156004,128.07116794586182,40000
-4.6392145,4.6392145,0.01780872,1.0,2.0091777,15.884934,-10.859533,0.03359267,0.013637268,1.034095,0.043933623,0.07798728,-0.0902035,2.6839964,-4.643656,4.643656,0.019585362,1.0,1.958914,12.58556,-11.81574,0.029014193,0.009520257,1.0527486,0.039541677,0.0025413960933685304,140.77815294265747,45000
-4.634685,4.634685,0.015997013,1.0,2.0505958,15.884934,-10.859533,0.026391726,0.0059452215,1.1611629,0.038003355,0.08654287,-0.15721439,3.044391,-4.645508,4.645508,0.020326078,1.0,1.6095653,12.58556,-11.631798,0.030249208,0.014296522,1.1835854,0.042085063,0.0025436403274536135,153.4963583946228,50000
-4.642094,4.642094,0.018960586,1.0,2.7151818,15.884934,-10.859533,0.035427913,0.00835969,1.6103994,0.051531907,0.1564755,-0.08042491,2.9504309,-4.642384,4.642384,0.019076688,1.0,2.307445,12.58556,-14.606331,0.02989243,0.00688685,1.6404314,0.046296746,0.0024988013744354247,165.99036979675293,55000
-4.6352806,4.6352806,0.016235158,1.0,3.380267,15.884934,-10.859533,0.039746776,0.006004148,1.8899426,0.058646202,0.079743,-0.10432757,2.8765817,-4.642363,4.642363,0.019068247,1.0,4.3441186,12.58556,-16.52049,0.057930123,0.014635295,1.8880969,0.07681109,0.0025563430786132812,178.7720890045166,60000
-4.6329613,4.6329613,0.015307461,1.0,1.4181747,15.884934,-10.859533,0.020417016,0.00629825,1.2113783,0.0325308,0.030745877,-0.034155678,1.8077337,-4.642371,4.642371,0.019071335,1.0,1.4102108,12.58556,-15.065234,0.026976164,0.013004096,1.2307243,0.03928341,0.0025479937553405762,191.51206183433533,65000
-4.640765,4.640765,0.018429015,1.0,1.0052991,15.884934,-10.859533,0.014743015,0.0047373986,1.1308165,0.026051179,0.047317464,-0.045902006,1.2867756,-4.643326,4.643326,0.019453144,1.0,1.3973448,12.58556,-14.784532,0.022751335,0.008866554,1.1362531,0.034113865,0.0025311969757080078,204.16805028915405,70000
-4.624587,4.624587,0.011957893,1.0,1.0536032,15.884934,-10.859533,0.0132923685,0.0027841786,1.1547233,0.024839602,0.052941147,-0.027044589,1.3424265,-4.628218,4.628218,0.013410243,1.0,1.1626928,12.58556,-14.718291,0.018481877,0.0069241896,1.151795,0.029999826,0.0025615066528320313,216.97558736801147,75000
-4.6316957,4.6316957,0.014801264,1.0,1.1956608,15.884934,-10.859533,0.015461596,0.003540392,1.04391,0.025900695,0.03539494,-0.026366897,1.2654371,-4.6393337,4.6393337,0.017856289,1.0,1.0726947,12.58556,-13.363329,0.020347223,0.009717452,1.0385034,0.030732255,0.0025358675956726074,229.65492916107178,80000
-4.6304045,4.6304045,0.014284869,1.0,0.9311776,15.884934,-10.859533,0.011729432,0.0024420787,1.0034448,0.02176388,0.029711915,-0.02935344,0.9544764,-4.6450644,4.6450644,0.02014862,1.0,1.0819565,12.58556,-14.778816,0.014319316,0.0035351028,0.9974616,0.024293931,0.002585355472564697,242.58171033859253,85000
-4.6335516,4.6335516,0.015543605,1.0,0.9786491,15.884934,-10.859533,0.0119408425,0.0021761127,0.7135706,0.019076549,0.04010705,-0.024389664,0.9589203,-4.634679,4.634679,0.01599443,1.0,1.1561432,12.58556,-12.139833,0.01401955,0.0024829498,0.7126678,0.021146229,0.0025493103981018067,255.3282663822174,90000
-4.6359005,4.6359005,0.016483083,1.0,0.94433147,15.884934,-10.859533,0.011064285,0.001637344,0.6653065,0.01771735,0.048971947,-0.030012513,1.1546595,-4.634345,4.634345,0.01586104,1.0,1.1477772,12.58556,-11.728725,0.014550343,0.003103608,0.66662455,0.021216588,0.0026127467155456544,268.39200377464294,95000
-4.625935,4.625935,0.012496995,1.0,1.2101604,15.884934,-10.859533,0.014818199,0.0027440349,0.66479576,0.021466156,0.045707878,-0.020997385,0.9794468,-4.6380596,4.6380596,0.01734667,1.0,1.4223297,12.58556,-10.86658,0.017904315,0.0037182006,0.6617032,0.024521347,0.002559465265274048,281.18933367729187,100000
-4.6384706,4.6384706,0.017511329,1.0,1.2856083,15.884934,-10.859533,0.014668498,0.0018307227,0.7081423,0.021749921,0.04738836,-0.045372423,1.3406199,-4.641497,4.641497,0.018721899,1.0,1.2624198,12.58556,-11.421047,0.01665102,0.004067496,0.70962834,0.023747303,0.002602310037612915,294.20088815689087,105000
-4.636935,4.636935,0.016897088,1.0,1.3864372,15.884934,-10.859533,0.016931966,0.003098581,0.7811487,0.024743453,0.040427454,-0.047478832,1.2334127,-4.6291437,4.6291437,0.013780395,1.0,1.3100083,12.58556,-14.224,0.017265107,0.0042070947,0.7784374,0.025049482,0.002558763360977173,306.994708776474,110000
-4.6208944,4.6208944,0.010480813,1.0,1.3750167,15.884934,-10.859533,0.017204743,0.003489473,0.84213006,0.025626045,0.14923608,-0.067329176,2.5995233,-4.63309,4.63309,0.015358865,1.0,1.0284923,12.58556,-13.986974,0.025575796,0.015445328,0.84595335,0.03403533,0.002554176950454712,319.7655973434448,115000
-4.6247883,4.6247883,0.012038162,1.0,1.7665877,15.884934,-10.859533,0.02017896,0.0025384682,0.8004262,0.028183222,0.04123972,-0.036010355,0.8886628,-4.6515207,4.6515207,0.022731159,1.0,1.725378,12.58556,-15.828825,0.022493036,0.0052921767,0.80770373,0.030570075,0.0025501359939575194,332.5162811279297,120000
-4.6266475,4.6266475,0.01278191,1.0,1.8200684,15.884934,-10.859533,0.022116747,0.003955622,0.9716178,0.031832926,0.2046348,-0.11515977,4.1495333,-4.6565633,4.6565633,0.024748404,1.0,2.1242814,12.58556,-16.513824,0.047261875,0.026281878,0.9502545,0.05676442,0.0025459787845611573,345.24617886543274,125000
-4.6251483,4.6251483,0.012182315,1.0,2.2997875,15.884934,-10.859533,0.02741132,0.004458028,1.2826064,0.040237382,0.22711416,-0.11675378,3.7857642,-4.6357536,4.6357536,0.016424268,1.0,2.2586684,12.58556,-19.842863,0.03362512,0.011149935,1.2875499,0.046500616,0.0025509757041931153,358.0010612010956,130000
-4.6224003,4.6224003,0.011083316,1.0,3.0670238,15.884934,-10.859533,0.03667885,0.0060693054,1.6708635,0.053387485,0.21237175,-0.12449155,3.0188363,-4.6412,4.6412,0.01860308,1.0,3.5547085,12.58556,-19.842863,0.06143149,0.026145866,1.7032096,0.078463584,0.002550059700012207,370.75136399269104,135000
-4.6338553,4.6338553,0.015665215,1.0,3.8872182,15.884934,-10.859533,0.05038069,0.011624755,1.4693737,0.06507443,0.5059952,-0.27253467,8.656083,-4.63362,4.63362,0.015570879,1.0,4.1692743,12.58556,-19.842863,0.13188009,0.09109832,1.4620068,0.14650016,0.0025768847465515135,383.63579177856445,140000
-4.623855,4.623855,0.011664893,1.0,1.3221872,15.884934,-10.859533,0.021539435,0.00840158,1.1691118,0.033230554,0.1073408,-0.11493286,3.7232308,-4.6406384,4.6406384,0.01837827,1.0,1.5993658,12.58556,-19.842863,0.03205264,0.016221195,1.1826737,0.043879375,0.002537178945541382,396.3216907978058,145000
-4.6247196,4.6247196,0.0120107075,1.0,1.1615269,15.884934,-10.859533,0.015623672,0.004048892,1.1958256,0.027581926,0.03907613,-0.03129145,1.1009586,-4.6613045,4.6613045,0.026644636,1.0,1.4648633,12.58556,-19.842863,0.022305477,0.007734188,1.2125905,0.034431383,0.0026110098361968996,409.37674355506897,150000
