step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,1,123.9,120.6,-3.3,pi,123.9,25.0
500224,1,193.0,208.4,15.5,pi,193.0,25.0
750080,1,233.1,233.1,-0.0,pi,233.1,25.0
1000192,1,240.7,258.1,17.3,pi,240.7,25.0
1250048,1,262.0,271.4,9.4,pi,262.0,25.0
1500160,1,261.6,269.3,7.7,pi,261.6,25.0
1750016,1,264.1,266.1,2.0,pi,264.1,25.0
2000128,1,270.4,268.1,-2.2,pi,270.4,25.0
