step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,2,0.0,3.3,3.3,pi,0.0,25.0
500224,2,236.2,287.7,51.6,mppi,287.7,25.0
750080,2,300.4,323.3,22.9,pi,300.4,25.0
1000192,2,336.1,348.9,12.7,pi,336.1,25.0
1250048,2,341.4,371.1,29.7,mppi,371.1,25.0
1500160,2,347.8,326.7,-21.1,pi,347.8,25.0
1750016,2,358.8,370.8,12.0,pi,358.8,25.0
2000128,2,356.8,374.0,17.2,pi,356.8,25.0
