step,seed,pi_return,mppi_return,phase_entropy
50176,0,1724.8,1050.6,0.8778
100096,0,2323.6,1088.5,1.5448
150016,0,2544.0,1486.9,1.8179
200192,0,3412.6,1655.2,0.8403
250112,0,437.9,645.5,0.5978
300032,0,1495.1,585.7,1.2982
350208,0,322.1,872.5,0.8874
400128,0,2030.2,1342.7,1.4223
450048,0,831.1,504.8,0.9632
500224,0,1898.6,1205.7,1.8341
