training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-4.6402836,4.6402836,0.018236289,1.0,0.85818195,8.710462,-10.02262,0.011746557,0.014642773,0.986938,0.7411453,0.01915801,0.019245582,-0.053086232,0.40288,-4.6499543,4.6499543,0.022104807,1.0,0.90158844,3.5450814,-3.7040484,0.010085,0.016431823,0.9888695,0.8487474,0.018572472,0.007837613916397096,39.18807935714722,5000
-4.643219,4.643219,0.019410633,1.0,0.86262405,8.560519,-4.96019,0.013462583,0.022690501,0.9888537,0.90460944,0.022508677,0.015012035,-0.02872618,0.43176538,-4.637995,4.637995,0.017320892,1.0,1.1149625,7.404059,-4.4226747,0.015836196,0.032999434,0.98783314,0.9054088,0.024890285,0.0026933992862701417,52.65507984161377,10000
-4.6410418,4.6410418,0.018539675,1.0,1.3811104,13.460258,-4.7028284,0.032523744,0.06287274,0.98664856,1.3050764,0.04557451,0.029185299,-0.03299219,1.1356596,-4.6378407,4.6378407,0.017259216,1.0,1.5998163,12.58556,-4.552852,0.02228161,0.04310892,0.98841876,1.3475018,0.035756625,0.002676614761352539,66.03815770149231,15000
-4.6316504,4.6316504,0.0147830695,1.0,1.6102924,15.884934,-5.837907,0.029593658,0.035736397,0.9878428,1.4586855,0.044180512,0.02161838,-0.04118731,0.8408363,-4.646328,4.646328,0.020654129,1.0,1.4850011,12.58556,-4.552852,0.020307872,0.0320354,0.9866603,1.4818273,0.035126146,0.002670352602005005,79.38992476463318,20000
-4.634328,4.634328,0.015853971,1.0,1.1691222,15.884934,-5.2094865,0.022270162,0.06371616,0.987708,1.47087,0.036978863,0.048710078,-0.01990895,0.9093092,-4.643859,4.643859,0.019666431,1.0,1.1380223,12.58556,-4.552852,0.021650273,0.06439498,0.9874552,1.4715965,0.03636624,0.002612790632247925,92.45388174057007,25000
-4.6398277,4.6398277,0.01805403,1.0,1.0723954,15.884934,-7.0525737,0.017641883,0.03990361,0.987674,1.3649223,0.031291105,0.03522228,-0.032054327,1.029867,-4.6319714,4.6319714,0.01491139,1.0,1.4619933,12.58556,-5.110725,0.020183131,0.028746326,0.9873454,1.3625944,0.033809073,0.002605929708480835,105.48353362083435,30000
-4.6339436,4.6339436,0.015700405,1.0,0.7778336,15.884934,-10.213582,0.026900731,0.04971067,0.9872701,1.5315146,0.042215876,0.036454678,-0.034144256,2.1481118,-4.6490755,4.6490755,0.021753242,1.0,1.2823439,12.58556,-5.40878,0.020546855,0.046632767,0.9875126,1.560972,0.036156576,0.0026383270263671873,118.6751720905304,35000
-4.638257,4.638257,0.017425755,1.0,0.8738606,15.884934,-10.859533,0.022221716,0.20662557,0.9872881,1.7561109,0.039782822,0.06084023,-0.050578505,1.7291489,-4.634879,4.634879,0.016074598,1.0,1.1825014,12.58556,-5.5924625,0.024274623,0.113708705,0.9874109,1.7386634,0.041661255,0.002597246551513672,131.66140866279602,40000
-4.6307125,4.6307125,0.014407918,1.0,1.2293322,15.884934,-10.57658,0.021254793,0.036418013,0.9872938,1.6365128,0.03761992,0.03153784,-0.028231619,1.1918514,-4.6435385,4.6435385,0.019538252,1.0,1.216782,12.58556,-5.6284666,0.019008439,0.04324396,0.9868432,1.6379534,0.03538797,0.0026496312141418457,144.90956902503967,45000
-4.6453204,4.6453204,0.020251047,1.0,1.0669448,15.884934,-8.3993435,0.016266549,0.046350606,0.9881444,1.3224874,0.029491423,0.023297494,-0.025371509,0.7812532,-4.633377,4.633377,0.015473783,1.0,1.7236354,12.58556,-8.461263,0.024352547,0.059189074,0.98768955,1.3423562,0.03777611,0.002611809396743774,157.96861958503723,50000
