series,n_seeds,final_mean,final_ci95_halfwidth,best_per_seed_mean,best_per_seed_ci95_halfwidth,final_values,best_values
tdmpc_glass_pi,5,356.88,84.30429482007486,360.98,85.03002635724891,351.6 403.0 434.6 257.5 337.7,357.3 409.8 434.6 257.5 345.7
tdmpc_glass_mppi,5,366.46,95.52837815960564,380.98,94.00267395119374,323.0 440.1 447.9 268.8 352.5,371.6 451.4 451.2 268.8 361.9
official_tdmpc2,3,449.1666666666667,312.1317140160334,456.5,315.85779257160175,380.1 373.2 594.2,381.0 385.2 603.3
