step,seed,pi_return,mppi_return,phase_entropy
50176,2,682.0,1083.7,0.5962
100096,2,460.6,565.1,1.2506
150016,2,2816.8,1368.8,1.9704
200192,2,1865.2,440.0,1.2519
250112,2,1386.0,946.3,1.5982
300032,2,318.2,754.1,1.7394
350208,2,356.4,510.7,2.2556
400128,2,413.5,319.7,0.9771
450048,2,274.5,1056.7,1.3110
500224,2,564.4,355.7,1.3182
