step,seed,pi_return,mppi_return,phase_entropy,value_r2
50176,0,11.5,85.7,0.4168,0.9999
100096,0,192.4,162.8,2.0529,0.2566
150016,0,214.2,258.7,2.5764,0.7906
200192,0,320.9,361.3,2.0107,0.3431
250112,0,461.5,371.0,0.9776,0.0930
300032,0,379.0,421.8,2.1585,0.7283
350208,0,447.7,489.2,1.9555,0.2021
400128,0,480.2,485.5,1.7993,0.1495
450048,0,515.5,526.8,1.5970,0.1005
500224,0,516.0,541.0,1.7263,0.1503
